X1,status,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24
17165,0,3.26,0,1.31,1.75,1.75,3.47,16.38,0.06,0.14,0.87,0.84,0.06,27.51,0.11,0.12,0,0,1,0,0,0,0,351,4321
17166,0,1.77,0,1.56,1.44,0.73,1.97,1.79,0.02,0,0.41,0.38,0.56,2.05,0.05,0.05,0,0,1,0,333,0,190,351,4120
17168,0,-2.98,-0.75,0.66,0.63,0.63,-8.16,-16.41,-0.85,-1.82,0.85,0.81,-0.06,-16.36,-0.99,-1.04,1,1,1,1,0,34,393,279,3320
17169,0,1.86,0.63,1.54,2.19,2,5.53,3.99,0.08,0.16,1.71,1.66,0.25,5.54,0.07,0.07,0,0,1,0,16,60,84,347,7112
17170,0,8.7,0,1.11,1.1,1.1,8.74,1.48,0,0,1.89,1.8,0.67,3.59,0,0,0,0,1,1,0,158,161,277,4939
17171,0,1.26,0,1.79,1.76,1.76,27.69,2.36,0.06,0.04,2.81,2.77,0.42,2.7,0.03,0.03,0,0,1,0,0,0,0,347,4120
17173,0,2.26,0.55,1.44,1.79,1.37,4.96,35.12,0.29,0.78,0.34,0.34,0.03,35.32,0.87,0.87,0,0,1,0,229,71,0,345,4120
17175,0,-5.5,-0.09,0.82,0.75,0.54,-1.98,24.09,0.02,-0.06,1.01,0.83,0.04,72.45,0.07,0.09,0,0,1,0,90,202,49,342,161
17176,0,10.98,0,1.09,6.5,6.5,1.13,4.67,0.07,0.59,0.15,0.12,0.21,5.05,0.51,0.61,0,0,1,0,0,0,0,342,6810
17177,0,47.02,0,1.02,0.81,0.29,0.14,2.31,0.02,0.42,0.87,0.89,0.43,4.25,0.04,0.04,0,0,1,0,212,0,0,341,4759
17179,0,10.94,1.55,1.09,0.44,0.23,0.27,6.06,0,-0.02,0.45,0.45,0.16,133.88,0.09,0.09,0,0,1,1,137,153,129,339,5610
17181,0,6.57,1.93,1.15,1.05,1.04,1.25,7.89,0.05,0.35,0.86,0.86,0.1,10.79,0.06,0.06,0,0,0,0,3,179,48,329,7420
17182,0,2.47,0,1.4,1.46,1.21,4.33,4.9,0.02,0.03,0.71,0.67,0.2,10.77,0.06,0.07,0,0,1,0,81,0,0,339,8623
17183,0,42.62,0,1.02,1.01,0.39,1.13,12.67,0.03,0.47,1.01,0.97,0.08,15.01,0.04,0.04,0,0,1,0,214,0,0,339,4120
17184,0,6.65,0.62,1.15,3.22,3.22,7.36,-0.53,-0.02,-0.44,1.2,1.18,-1.88,0.75,0.02,0.02,1,1,1,1,0,4,136,328,7490
17185,0,2.11,0.97,1.47,1.45,1.45,1.66,2.41,0.05,0.04,0.49,0.49,0.41,3.13,0.12,0.12,0,0,1,0,0,124,453,338,4334
17186,0,17.02,10.93,1.06,1.64,1.34,1.33,1.2,0.03,0.08,0.56,0.52,0.83,2.18,0.08,0.09,0,0,1,0,53,122,0,293,1722
17187,0,2.85,0,1.35,1.19,0.44,1.72,1.61,0.01,0,0.56,0.55,0.62,4.99,0.05,0.05,0,0,1,0,335,0,63,291,4771
17188,0,13.5,10.13,1.07,0.98,0.76,0.93,1.15,0.06,0.06,0.63,0.63,0.87,1.47,0.12,0.12,0,0,1,0,103,36,231,325,1392
17190,0,0.28,0,4.52,4.11,0.78,2.57,-0.94,0,0,0.61,0.61,-1.07,7.1,0.03,0.03,1,1,1,1,327,75,41,324,4669
17191,0,4.69,0.57,1.21,1.25,0.96,1.33,3.03,0.02,0.08,0.27,0.25,0.33,4.46,0.13,0.14,0,0,1,0,196,213,348,334,4520
17192,0,-22,-0.76,0.95,1.06,0.89,4.56,-9.15,-0.38,-8.7,3.46,3.45,-0.11,-8.88,-0.11,-0.11,1,1,1,1,17,73,84,266,4649
17193,0,19.17,0,1.05,0.88,0.22,0.96,1.52,0.05,0.13,0.73,0.73,0.66,2.44,0.12,0.12,0,0,1,0,94,0,3,333,5630
17194,0,8.45,0,1.12,1.1,1.08,6.74,1.05,0.04,-0.06,1.58,1.3,0.95,1.25,0.03,0.04,0,0,1,1,4,0,104,332,4723
17196,0,-10.76,-0.37,0.91,0.97,0.93,-1.62,-11.76,-0.12,-1.08,0.2,0.2,-0.09,-10.92,-0.55,-0.55,1,1,1,1,73,1308,1460,252,4120
17197,0,-3.32,-1.84,0.7,0.34,0.15,0.67,444.7,0.04,-0.07,0.23,0.2,0,496.13,0.2,0.22,0,0,1,0,129,23,2,263,123
17198,0,5.98,0.18,1.17,0.63,0.04,0.92,-5.59,-0.01,-0.09,0.1,0.08,-0.18,-5.2,-0.1,-0.12,1,1,1,1,414,100,4,328,3100
17199,0,5.77,1.9,1.17,1.06,0.65,1.16,7.27,0.08,0.38,0.29,0.2,0.14,8.82,0.32,0.45,0,0,1,0,353,250,313,326,4120
17200,0,9.75,0.93,1.1,1.07,1.05,2.74,1.11,0.02,0.01,0.51,0.49,0.79,1.77,0.04,0.05,0,0,1,0,11,279,665,260,4120
17201,0,0.72,0,2.39,0.29,0.29,0.68,37.72,0.04,0.04,0.49,0.43,0.03,66.35,0.15,0.17,0,0,1,0,0,81,11,325,9200
17203,0,9.68,2.91,1.1,0.79,0.35,0.34,1.84,0.07,0.09,0.56,0.34,0.54,3.47,0.22,0.37,0,0,1,0,256,255,73,260,2220
17204,0,5.83,0,1.17,1.3,1.3,4.52,3.59,0.01,0.01,0.59,0.58,0.23,6.66,0.03,0.03,0,0,1,0,0,0,0,325,5224
17205,0,7.77,5.84,1.13,0.79,0.79,0.95,1.51,0.02,0.03,0.18,0.18,0.66,3.34,0.27,0.27,0,0,1,0,0,261,309,324,6311
17206,0,16.06,0.32,1.06,0.91,0.68,0.43,2.65,0.02,0.14,0.37,0.37,0.38,4.65,0.1,0.1,0,0,1,0,215,460,515,313,9319
17207,0,34.47,0,1.03,1.34,1.34,24.83,-32.07,-0.13,-4.99,0.58,0.58,-0.03,-31.89,-0.23,-0.22,1,1,1,1,2,298,0,323,8690
17209,0,1.17,0,1.85,0.55,0.45,0.65,1.2,0.01,0,0.28,0.22,0.84,7.73,0.27,0.34,0,0,1,0,64,0,0,321,2511
17210,0,-4.6,0,0.78,2.16,2.14,3.64,-4.2,-0.02,-0.11,0.41,0.41,-0.24,-2.52,-0.03,-0.03,1,1,1,1,6,48,0,310,9329
17211,0,55.71,0,1.02,1.01,1.01,2.81,28.59,0.02,0.54,0.74,0.68,0.03,44.31,0.04,0.04,0,0,1,0,0,137,190,310,8299
17213,0,12.9,5.34,1.08,0.8,0.56,0.75,1.09,0.03,0.04,0.74,0.74,0.91,3.37,0.12,0.12,0,0,1,0,75,108,111,319,126
17214,0,1.71,0,1.58,1.56,0.82,23.91,1.44,0.01,0.01,2.03,2.24,0.7,4.08,0.01,0.01,0,0,1,0,84,41,4,318,4511
17216,0,12.12,0.9,1.08,1.5,1.23,3.43,19.96,0.02,0.12,0.44,0.27,0.05,39.68,0.09,0.14,0,0,1,0,133,333,479,318,4120
17217,0,29.98,10,1.03,0.87,0.87,0.21,2.3,0.03,0.01,2.03,1.96,0.43,2.46,0.02,0.02,0,0,1,0,0,108,87,308,8299
