X1,V1,V2,V3,V4,V5,V6,V8,V9,V12,V13,V15,V19,V20,V21,V22,V23,V25,V26,V27,status
2,3.3,0.62,1.3,0.96,0.7,0.94,-0.12,-0.53,-0.05,-17.55,-0.01,1,7,25,8,36635,-366.35,-1937.9929280397023,-0.0027296301351166915,1
3,-7.93,-0.19,0.87,1.35,1.34,225.95,-0.59,-8.12,-0.02,-38.08,-0.1,1,1,42,65,29970,-2997.0,-21291.085535390197,-0.000333667000333667,1
10,-1.16,-0.68,0.14,1.6,0.87,2.23,-0.27,-0.05,-0.06,-11.62,-0.07,1,48,31,12,4276,-299.32000000000005,-24.426218487394948,-0.0033409060537217686,1
12,-1.9,-0.86,0.47,0.42,0.42,-1.78,-0.24,-0.23,-0.07,-12.22,-0.17,1,0,53,156,3799,-645.83,-298.8491943963385,-0.0015483950884907793,1
16,5.88,0.57,1.17,0.35,0.12,0.36,-0.1,-0.72,-0.01,-88.87,-0.11,1,77,306,12,2475,-272.25,-2990.275579547159,-0.0036730945821854912,1
17,-10.8,-8.28,0.91,0.8,0.03,-0.59,-0.01,-0.43,-2.43,-0.22,-0.08,1,4281,355,65,2274,-181.92000000000002,-38.72761055369752,-0.005496921723834652,1
18,3.73,0.21,1.27,1.41,1.35,1.89,0.11,0.27,0.07,21.4,0.1,0,7,61,75,1991,199.10000000000002,-5182.498012748409,0.00502260170768458,1
20,0.77,0.07,2.29,2.73,2.73,18.73,0.41,0.54,0.01,193.94,0.52,0,0,73,151,1773,921.96,-6899.926483431799,0.001084645754696516,1
21,0.19,0.0,6.18,3.28,3.28,1.79,-0.28,-0.36,-0.06,-16.5,-0.05,1,0,5,27,1739,-86.95,-1.0,-0.01150086256469235,1
22,-21.83,-0.01,0.95,1.0,1.0,1.34,-0.2,-4.19,-0.01,-124.64,-0.04,1,0,80,74,1738,-69.52,-1203947.6884210524,-0.014384349827387804,1
23,1.23,1.1,1.82,0.33,0.33,0.56,0.03,0.02,0.46,4.57,0.51,0,0,142,77,1603,817.53,-50.46276452119309,0.0012231967022616908,1
24,-2.55,-1.06,0.61,0.62,0.62,-2.33,-0.69,-1.12,-0.05,-15.61,-0.32,1,0,46,150,1544,-494.08,-474.2760284565418,-0.0020239637305699484,1
25,-1.49,0.0,0.33,0.1,0.1,-2.73,-0.79,-0.39,-0.02,-42.31,-0.74,1,0,0,0,1499,-1109.26,-1.0,-0.0009015019021690136,1
26,11.92,0.0,1.08,1.14,1.14,9.24,0.03,0.1,0.03,47.42,0.01,0,0,0,0,1488,14.88,1.0,0.06720430107526881,1
31,-1.21,0.0,0.17,0.14,0.14,-28.95,-1.02,-0.23,-0.02,-57.31,-0.23,1,0,444,0,1244,-286.12,1.0,-0.0034950370473927025,1
32,-8.74,-0.77,0.89,1.24,1.13,34.56,-0.15,-1.27,-0.06,-16.29,-0.22,1,47,213,386,1239,-272.58,-4140.565688019845,-0.0036686477364443466,1
33,-2.57,-0.37,0.61,1.14,1.14,4.11,-0.05,-0.15,-0.95,-1.04,-0.02,1,0,16,109,1202,-24.04,-1615.1105449712006,-0.0415973377703827,1
34,-3.85,-0.37,0.74,0.85,0.85,-0.55,-0.35,-1.1,-0.11,-7.74,-0.07,1,0,15,64,1160,-81.2,-2723.3779766252737,-0.01231527093596059,1
35,47.92,13.14,1.02,1.03,0.08,1.31,-0.13,-7.11,-0.15,-5.21,-0.05,1,172,131,8,1084,-54.2,-922.5559811382695,-0.01845018450184502,1
36,0.98,0.0,2.02,0.13,0.13,0.75,-0.01,-0.01,-0.01,345.2,0.64,1,0,20,4,1043,667.52,-1.0,0.0014980824544582935,1
37,-4.96,0.0,0.8,1.06,1.05,1.18,-0.21,-1.47,-0.04,-20.18,-0.05,1,0,0,66,999,-49.95,1.0,-0.02002002002002002,1
38,-8.11,0.0,0.88,0.94,0.39,-0.32,-0.13,-1.02,-0.02,-40.39,-0.1,1,160,0,0,999,-99.9,-1.0,-0.01001001001001001,1
40,-1.69,-0.98,0.41,0.18,0.16,-0.06,-0.46,-0.36,-0.15,-5.04,-0.15,1,3,58,0,969,-145.35,-93.61538078646092,-0.0068799449604403165,1
42,-2.86,-1.06,0.65,0.41,0.27,-1.27,-0.03,-0.09,-0.58,-1.02,-0.08,1,310,99,276,910,-72.8,-150.23751814223513,-0.013736263736263736,1
43,-3.51,0.0,0.72,1.14,0.21,4.1,-0.45,-1.18,-0.05,-20.08,-0.64,1,338,0,58,849,-543.36,1.0,-0.0018404004711425205,1
44,0.69,0.0,2.44,2.45,2.44,104.79,-0.11,-0.18,-0.01,-77.2,-0.2,1,2,0,0,835,-167.0,1.0,-0.005988023952095809,1
45,15.55,0.0,1.06,0.95,0.45,0.88,0.02,0.11,0.45,7.71,0.01,0,22,0,0,827,8.27,1.0,0.12091898428053205,1
49,-5.4,-1.54,0.81,0.02,0.02,-0.11,-0.22,-1.14,-0.17,-0.75,-0.06,1,2,146,4,636,-38.16,-246.78659611992947,-0.026205450733752623,1
54,5.89,2.38,1.17,1.37,1.34,11.01,0.12,0.23,0.16,6.38,0.05,0,3,14,123,593,29.650000000000002,-972.2689169000932,0.03372681281618887,1
55,-7.72,-0.29,0.87,1.42,0.92,8.83,-0.2,-1.34,-0.01,-137.04,-0.16,1,98,153,152,573,-91.68,-8782.52594530321,-0.010907504363001745,1
57,-8.99,-0.01,0.89,0.78,0.78,0.17,-0.11,-1.1,-0.25,-2.73,-0.07,1,0,15,213,556,-38.92,-185115.19280898874,-0.025693730729701953,1
58,-5.68,-3.69,0.82,0.05,0.05,-0.03,-0.19,-1.11,-0.23,-1.94,-0.4,1,1,297,21,544,-217.60000000000002,-86.79095776323618,-0.004595588235294117,1
59,4.81,2.1,1.21,1.28,0.57,55.73,0.07,0.26,0.19,5.52,0.09,0,269,88,131,527,47.43,-445.43927823691456,0.02108370229812355,1
60,1.61,0.0,1.62,1.56,1.54,4.0,0.14,0.24,0.09,14.05,0.08,0,1,0,0,511,40.88,1.0,0.02446183953033268,1
62,1.44,0.02,1.7,1.71,1.71,12.14,-0.1,-0.34,-0.22,-4.31,-0.07,1,0,36,137,426,-29.820000000000004,-40358.59035294118,-0.03353454057679409,1
63,19.29,0.0,1.05,1.07,0.54,1.44,0.01,0.02,0.77,2.44,0.03,0,303,0,0,426,12.78,1.0,0.0782472613458529,1
65,-5.93,-5.85,0.83,0.14,0.14,0.93,0.05,-0.01,0.9,2.15,0.94,1,0,0,0,360,338.4,0.14214807949747713,0.0029550827423167852,1
67,-1.37,0.0,0.27,0.12,0.09,-0.21,-0.58,-0.23,-0.05,-15.52,-0.14,1,4,21,0,354,-49.56,1.0,-0.020177562550443905,1
69,-3.25,0.0,0.69,1.09,1.09,15.4,-0.85,-1.94,-0.01,-125.57,-0.17,1,0,5,36,324,-55.080000000000005,1.0,-0.018155410312273055,1
70,-1.64,-0.03,0.39,0.33,0.33,-9.24,-1.17,-0.75,-0.01,-160.73,-0.5,1,0,139,117,323,-161.5,-12032.499442586397,-0.006191950464396285,1
72,27.75,11.15,1.04,1.06,0.34,5.36,-0.04,-1.2,-0.16,-5.74,-0.26,1,792,54,377,304,-79.04,-338.8511477311926,-0.012651821862348178,1
73,-15.66,0.0,0.94,0.13,0.13,0.97,0.0,-0.01,0.9,2.65,1.14,1,0,0,0,290,330.59999999999997,-1.0,0.0030248033877797948,1
75,0.63,0.0,2.59,0.22,0.22,0.73,-0.07,-0.11,-0.02,-48.11,-0.03,1,0,0,0,271,-8.129999999999999,1.0,-0.12300123001230014,1
76,5.68,0.0,1.18,1.71,1.71,43.74,-0.17,-1.2,-0.05,-21.77,-0.41,1,0,0,164,264,-108.24,-1.0,-0.009238728750923873,1
78,-2.92,-2.38,0.66,0.26,0.13,0.67,-0.01,-0.02,-0.42,4.16,0.68,1,410,913,22,255,173.4,-37.675850946439176,0.0057670126874279125,1
79,-2.58,-2.24,0.61,3.59,0.81,30.56,-0.6,-1.02,-0.08,-12.69,-0.66,1,301,59,67,255,-168.3,-77.41938570330795,-0.0059417706476530005,1
80,-3.79,0.0,0.74,0.83,0.73,-7.53,-0.78,-2.26,-0.05,-21.55,-1.11,1,48,0,351,240,-266.40000000000003,1.0,-0.0037537537537537533,1
81,1.15,0.04,1.87,2.68,1.09,21.39,-0.12,-0.27,-0.02,-53.64,-0.33,1,630,170,86,238,-78.54,-4601.367914438502,-0.012732365673542143,1
83,1.95,0.0,1.51,1.71,0.13,9.59,0.05,0.1,0.23,5.14,0.34,0,1170,0,0,230,78.2,1.0,0.01278772378516624,1
84,6.86,3.29,1.15,0.4,0.4,0.67,0.07,0.27,0.18,7.91,0.15,0,0,211,49,228,34.199999999999996,-479.3696312937756,0.02923976608187135,1
87,0.44,0.0,3.27,0.96,0.96,0.99,-0.11,-0.17,-0.01,-52.65,-0.12,1,0,0,0,218,-26.16,1.0,-0.0382262996941896,1
89,34.0,0.0,1.03,0.9,0.36,0.23,0.02,-0.13,1.33,0.76,0.06,1,495,0,0,200,12.0,1.0,0.08333333333333333,1
90,-3.47,0.0,0.71,0.84,0.84,-22.65,-1.33,-3.48,-0.03,22.79,0.88,1,0,0,0,200,176.0,-1.0,0.005681818181818182,1
94,-2.35,-0.52,0.57,1.23,0.59,4.14,-1.02,-1.44,-0.05,-20.28,-0.87,1,96,42,76,177,-153.99,-567.6696890993813,-0.00649392817715436,1
95,-2.99,-0.75,0.67,0.11,0.1,0.49,-0.01,-0.03,-0.45,5.6,0.22,1,3,157,0,174,38.28,-47.569495569770204,0.02612330198537095,1
97,-3.54,0.0,0.72,0.51,0.51,-1.35,-0.52,-1.35,-0.01,-75.1,-0.35,1,0,217,97,170,-59.49999999999999,1.0,-0.016806722689075633,1
98,11.19,0.0,1.09,1.1,1.1,1.48,-0.12,-1.66,-0.09,-5.89,-0.02,1,0,48,163,156,-3.12,-1.0,-0.3205128205128205,1
101,-1.92,0.0,0.48,0.45,0.17,-22.16,-0.11,-0.13,-0.28,-2.5,-0.06,1,170,0,0,140,-8.4,-1.0,-0.11904761904761904,1
104,1.48,0.0,1.67,0.45,0.45,0.57,0.02,0.01,0.73,4.44,0.39,0,0,0,0,128,49.92,1.0,0.02003205128205128,1
105,-10.21,0.0,0.9,0.48,0.34,-0.23,-0.02,-0.46,-1.14,2.25,0.24,1,136,0,0,124,29.759999999999998,-1.0,0.03360215053763441,1
106,-11.94,0.0,0.92,0.67,0.51,-0.34,0.04,-0.43,0.01,116.17,0.15,0,161,717,400,122,18.3,1.0,0.0546448087431694,1
107,-6.68,0.0,0.85,0.8,0.8,-2.77,-0.21,-1.4,-0.15,-6.19,-0.46,1,0,0,0,111,-51.06,-1.0,-0.019584802193497845,1
108,-1.76,-0.04,0.43,0.53,0.53,-12.5,-0.22,-0.17,-0.04,-24.43,-1.41,1,0,355,237,109,-153.69,-2689.421395348837,-0.006506604203266315,1
109,-7.53,-2.15,0.87,0.22,0.22,-0.2,0.04,-0.02,0.78,1.4,0.21,0,0,1416,158,109,22.89,-952.9551747126438,0.0,1
112,3.45,0.0,1.29,0.5,0.5,0.49,0.0,-0.04,-0.59,2.63,0.98,1,0,0,0,106,103.88,1.0,0.009626492106276474,1
114,-1.56,-0.21,0.36,0.11,0.09,-1.39,-0.28,-0.16,-0.02,6.92,0.18,1,103,258,163,96,17.28,-222.5367641325536,0.057870370370370364,1
115,-1.27,0.0,0.21,0.16,0.16,-13.4,-0.38,-0.1,-0.01,2.02,0.04,1,0,0,0,92,3.68,-1.0,0.2717391304347826,1
119,190.05,0.0,1.01,0.53,0.16,0.01,0.0,-0.48,-0.04,338.0,0.15,1,1201,0,0,80,12.0,1.0,0.08333333333333333,1
121,-4.77,0.0,0.79,0.06,0.06,0.73,0.01,-0.04,0.0,294.73,0.9,0,0,449,195,75,67.5,1.0,0.014814814814814815,1
122,1.29,0.0,1.77,1.59,1.59,2.66,0.19,0.37,0.06,23.42,0.49,0,0,16,273,71,34.79,-1.0,0.02874389192296637,1
124,0.24,0.0,5.14,5.06,5.06,54.36,-0.34,-0.44,-0.05,-23.02,-1.85,1,0,0,0,63,-116.55000000000001,1.0,-0.0,1
126,1.53,0.17,1.65,1.65,0.67,118.38,0.01,0.01,0.06,17.28,0.08,0,963,874,464,58,4.64,-4233.136470588235,0.21551724137931036,1
129,2.84,0.67,1.35,0.36,0.36,0.74,-0.01,-0.06,-0.23,-2.44,-0.14,1,0,252,381,52,-7.280000000000001,-210.10149253731342,-0.13736263736263735,1
135,-1.35,0.0,0.26,3.23,3.23,157.29,0.11,-0.03,0.01,131.33,0.46,0,0,0,0,36,16.560000000000002,-1.0,0.06038647342995168,1
136,-1.56,0.0,0.36,0.79,0.79,-5.84,0.11,-0.06,0.01,99.04,0.23,0,0,201,0,35,8.05,1.0,0.12422360248447203,1
139,-4.3,0.0,0.77,0.12,0.12,-0.36,-0.56,-2.04,-0.1,0.16,0.17,1,0,0,0,29,4.930000000000001,-1.0,0.20283975659229206,1
140,-3.08,0.0,0.68,1.14,1.14,2.44,-0.08,-0.18,-0.1,-9.3,-1.49,1,0,0,0,28,-41.72,-1.0,-0.023969319271332695,1
145,0.95,0.0,2.06,0.58,0.58,0.71,0.03,0.02,0.5,3.35,0.23,0,0,0,0,17,3.91,1.0,0.2557544757033248,1
146,8.44,0.0,1.12,1.29,1.16,95.74,0.02,0.13,0.09,11.98,0.03,0,638,0,0,12,0.36,1.0,2.7777777777777777,1
147,-63.54,0.0,0.98,1.65,1.65,106.7,0.02,-1.57,2.23,0.51,1.02,1,0,0,0,10,10.2,-1.0,0.09803921568627452,1
149,-1.46,0.0,0.32,0.23,0.23,-7.77,0.0,0.0,-0.43,7.16,0.58,1,0,0,0,7,4.06,-1.0,0.24630541871921185,1
159,-4.3,-2.41,0.77,0.64,0.52,-0.36,-0.24,-1.44,-0.15,-4.96,-0.15,1,41,152,143,74998,-11249.699999999999,-479.5527563722584,-8.889125932247083e-05,1
160,8.32,0.94,1.12,1.1,0.75,5.1,0.05,0.3,0.14,7.99,0.01,0,28,70,40,65013,650.13,-4385.534498480243,0.0015381539076800026,1
161,3.41,0.02,1.29,0.84,0.84,0.69,0.1,0.25,0.12,11.3,0.03,0,0,34,0,51468,1544.04,-39815.42860465116,0.0006476516152431284,1
162,43.76,0.05,1.02,1.02,0.05,2.23,-0.02,-0.68,-0.05,-10.1,-0.54,1,4390,116,116,67682,-36548.28,-11565.983999999999,-0.0,1
163,3.74,2.0,1.27,1.12,0.94,1.27,0.02,-0.06,0.71,2.64,0.03,1,27,70,129,52689,1580.6699999999998,-714.7875212598425,0.0006326431196897518,1
165,-1.73,-0.89,0.42,0.1,0.07,-1.31,-0.22,-1.0,-0.55,-1.23,-0.25,1,38,308,82,49199,-12299.75,-188.53841626538252,-8.130246549726621e-05,1
167,16.16,0.38,1.06,0.83,0.83,0.63,0.05,0.07,0.23,8.28,0.1,0,0,14,124,47437,4743.7,-8533.351042701093,0.0002108059109977444,1
169,2.98,1.93,1.34,0.94,0.78,0.87,0.02,0.0,0.97,2.26,0.05,0,42,77,147,39683,1984.15,-564.4145387054366,0.0005039941536678174,1
171,-29.14,-1.97,0.97,0.72,0.7,0.57,-0.12,-0.3,-0.08,-9.27,-0.15,0,9,170,115,35259,-5288.849999999999,-2562.8604453398916,-0.0001890770205243106,1
172,-2.11,-0.1,0.53,0.86,0.86,-2.9,-0.85,-1.0,-0.02,-62.36,-0.34,1,0,28,55,35733,-12149.220000000001,-2257.5996792452825,-8.230981083559273e-05,1
174,28.21,13.39,1.04,0.9,0.75,0.81,0.03,0.05,0.72,1.64,0.05,0,60,153,275,25457,1272.8500000000001,-614.336289423795,0.000785638527713399,1
175,6.67,3.84,1.15,0.83,0.56,0.81,-0.31,-2.8,-0.07,-11.01,-0.49,1,135,166,208,26427,-12949.23,-314.11250507558725,-7.722466895715035e-05,1
176,58.7,22.87,1.02,1.09,1.04,7.27,0.01,0.16,2.76,0.65,0.01,0,13,123,174,25636,256.36,-1167.8995164484684,0.0039007645498517706,1
177,10.02,4.78,1.1,1.11,0.67,1.47,0.01,-0.2,2.03,3.21,0.05,1,84,78,111,20592,1029.6000000000001,-722.0714577786232,0.0009712509712509711,1
178,36.48,19.96,1.03,1.01,0.85,1.2,0.02,-1.23,2.0,0.34,0.01,1,44,89,225,18950,189.5,-735.1777438371888,0.005277044854881266,1
180,6.71,3.56,1.15,1.25,0.76,10.81,0.07,0.07,0.56,2.04,0.07,0,119,90,167,19110,1337.7,-654.425327308256,0.0007475517679599312,1
181,8.55,0.0,1.12,1.11,0.13,2.38,0.08,0.46,0.25,5.03,0.01,0,38,0,0,18481,184.81,1.0,0.005410962610248363,1
182,-2.29,-1.3,0.56,0.63,0.36,-18.54,-0.95,-1.69,-0.09,-10.79,-0.44,1,72,98,16,19144,-8423.36,-240.80919230769229,-0.00011871747141283288,1
183,-8.96,-4.97,0.89,0.53,0.29,0.61,-0.73,-6.42,-0.05,-18.27,-0.45,1,32,59,12,17316,-7792.2,-176.36118261699806,-0.000128333461666795,1
185,10.47,3.65,1.1,1.35,0.92,9.93,0.07,0.18,0.52,2.14,0.06,0,81,56,130,21716,1302.96,-814.4414196762141,0.0007674832688647388,1
186,69.51,0.0,1.01,1.23,0.94,2.23,0.02,0.17,0.37,3.36,0.02,0,44,74,55,16487,329.74,-1.0,0.0030326924243343238,1
187,134.43,7.43,1.01,0.99,0.88,0.39,-0.03,-5.23,-0.39,-2.19,-0.01,1,9,73,64,16295,-162.95000000000002,-10345.353739189535,-0.00613685179502915,1
188,12.72,3.32,1.08,1.26,0.47,2.08,-0.14,-2.16,-0.05,-18.68,-0.13,1,187,173,30,15746,-2046.98,-834.0823293172691,-0.0004885245581295372,1
189,-2.01,-0.93,0.5,0.32,0.23,-1.73,-0.62,-0.8,-0.16,-5.68,-0.14,1,14,17,23,13784,-1929.7600000000002,-182.69220843672454,-0.0005181991542989802,1
191,-8.34,-2.49,0.88,0.78,0.71,0.13,-0.38,-1.87,-0.04,-9.54,-0.14,1,21,136,147,17065,-2389.1000000000004,-948.4035706462212,-0.00041856766146247535,1
192,11.24,0.1,1.09,1.0,0.93,1.03,0.03,0.38,0.01,262.3,0.01,0,4,51,17,14456,144.56,-53905.274422018345,0.0,1
193,3.39,0.0,1.3,1.26,0.65,2.85,0.16,0.47,0.0,393.63,0.04,0,32,53,29,14273,570.92,-1.0,0.0017515588874097948,1
194,-10.06,-1.93,0.9,0.81,0.46,0.49,-0.43,-4.04,-0.04,-13.56,-0.25,1,125,155,101,18029,-4507.25,-972.1896373056994,-0.00022186477342060014,1
196,-1.89,-0.51,0.47,0.41,0.41,-1.01,-0.82,-1.23,-0.05,-13.94,-0.63,1,0,280,108,13023,-8204.49,-702.3210921985815,-0.00012188448032723545,1
198,-7.34,-4.66,0.86,1.02,0.8,1.95,-0.18,-1.49,-0.34,-2.95,-0.13,1,57,40,153,12193,-1585.0900000000001,-350.24276075456635,-0.0006308790037158773,1
199,29.28,9.82,1.03,0.98,0.78,0.88,0.05,0.57,0.3,3.89,0.05,0,51,111,59,13295,664.75,-631.3427599707355,0.001504324934185784,1
200,2.65,2.03,1.38,0.92,0.61,0.89,0.04,0.01,0.7,1.87,0.08,0,97,41,0,13033,1042.64,-49.66756978653531,0.0009591038133967619,1
201,-2.26,-0.57,0.56,0.48,0.17,-4.22,-0.79,-1.06,-0.05,-5.31,-0.48,1,371,382,161,13399,-6431.5199999999995,-641.2512117503059,-0.00015548424011742172,1
202,-4.72,-0.61,0.79,0.48,0.41,-0.46,-0.39,-1.53,-0.06,-5.73,-0.14,1,32,278,159,12047,-1686.5800000000002,-2581.3287653040043,-0.0005929158415254538,1
203,-2.5,-0.88,0.6,0.43,0.43,-1.29,-1.07,-1.68,-0.06,-17.65,-0.32,1,1,87,36,11911,-3811.52,-671.7205578512396,-0.00026236252203845183,1
204,2.7,1.4,1.37,1.14,1.1,1.22,-0.08,-0.37,-0.3,-3.02,-0.05,1,7,96,97,11347,-567.35,-645.5915484880086,-0.001762580417731559,1
207,42.61,18.48,1.02,1.09,0.18,1.97,-0.02,-1.71,-1.05,-0.61,-0.04,1,1272,206,109,12069,-482.76,-169.93592840166366,-0.002071422653078134,1
208,-2.49,-1.05,0.6,0.36,0.34,-0.1,-0.08,-0.13,-0.01,15.44,0.12,1,60,771,503,11118,1334.1599999999999,-216.09257142857138,0.0007495352881213648,1
209,8.72,0.0,1.11,1.31,1.29,2.28,0.03,0.02,0.91,2.32,0.02,0,1,0,0,11825,236.5,1.0,0.004228329809725159,1
210,7.17,3.57,1.14,0.75,0.73,0.61,0.03,0.0,0.98,1.64,0.07,0,7,189,248,11421,799.47,-668.5488235294118,0.0012508286739965227,1
214,3.9,0.51,1.26,1.13,1.12,1.31,0.04,0.24,0.17,6.31,0.08,0,4,309,288,13365,1069.2,-3260.836383442266,0.0009352787130564908,1
216,24.72,13.74,1.04,1.19,0.3,3.42,0.05,-0.23,0.71,0.74,0.05,1,359,173,83,10456,522.8000000000001,-339.2939144552682,0.0019127773527161437,1
217,8.58,7.1,1.12,4.4,4.4,3.06,0.08,0.37,0.18,6.11,0.06,0,0,22,23,10660,639.6,-86.38384305835011,0.0015634771732332708,1
219,9.88,2.87,1.1,0.8,0.57,0.4,0.03,-0.06,0.76,3.72,0.13,1,83,111,0,10087,1311.31,-374.6955514729173,0.0007625961824435108,1
220,13.38,2.92,1.07,0.8,0.8,0.41,0.02,0.23,0.14,15.7,0.01,0,0,61,44,10074,100.74000000000001,-1816.4714377160417,0.009926543577526304,1
222,-2.85,-0.88,0.65,0.46,0.38,-1.83,-0.57,-1.18,-0.12,-7.97,-0.19,1,16,133,47,10955,-2081.45,-1080.7622377622376,-0.0004804343126186073,1
224,-10.33,-2.43,0.9,1.35,1.11,8.3,-0.26,-2.73,-0.01,-67.53,-0.03,1,13,36,25,12381,-371.43,-1083.3166666666666,-0.0,1
225,26.08,0.31,1.04,1.71,1.68,2.67,0.01,0.14,0.44,7.04,0.02,0,5,43,206,9438,188.76,-20085.128486352358,0.005297732570459844,1
229,8.32,1.54,1.12,1.33,1.31,2.34,0.03,0.06,0.65,2.55,0.03,0,3,13,116,8504,255.12,-1546.408896103896,0.00391972405142678,1
230,9.84,0.01,1.1,1.03,1.03,1.09,0.13,0.64,0.09,18.17,0.1,0,1,43,27,10918,1091.8,-162885.7818181818,0.0009159186664224217,1
231,7.78,0.0,1.13,0.99,0.97,0.95,0.12,0.55,0.2,4.95,0.08,0,4,0,0,8198,655.84,1.0,0.0015247621371066113,1
232,10.15,0.26,1.1,0.72,0.72,0.43,0.08,0.35,0.44,3.98,0.07,0,0,73,71,8543,598.0100000000001,-14957.530069930075,0.0016722128392501795,1
233,-2.09,-0.53,0.52,0.51,0.46,-6.72,-0.9,-1.06,-0.05,-17.47,-0.37,1,14,215,127,8525,-3154.25,-1360.8325689404933,-0.00031703257509709123,1
234,7.66,3.99,1.13,1.26,0.41,2.31,0.04,-0.04,0.98,1.29,0.03,1,113,56,19,8233,246.98999999999998,-300.35431499101736,0.004048746912830479,1
235,-3.05,-0.86,0.67,0.6,0.27,-2.28,-0.51,-1.12,-0.06,-12.67,-0.27,1,110,168,80,8571,-2314.17,-884.609510586602,-0.0004321203714506713,1
236,11.22,3.61,1.09,1.18,0.45,6.11,0.04,0.01,0.53,2.47,0.04,0,147,112,73,8829,353.16,-848.0119138987014,0.0028315777551251556,1
237,25.09,0.0,1.04,1.18,1.02,5.51,0.02,0.08,0.33,4.04,0.02,0,23,0,0,8286,165.72,1.0,0.006034274680183442,1
238,12.53,0.71,1.08,1.51,1.49,45.55,0.05,0.1,0.43,2.47,0.04,0,4,71,175,8867,354.68,-7005.145148669798,0.00281944287808729,1
239,-20.03,0.0,0.95,0.4,0.33,0.39,-0.06,-1.6,-0.33,-2.17,-0.03,1,12,0,26,7794,-233.82,1.0,-0.004276794115131297,1
240,11.22,6.97,1.09,1.05,0.76,1.13,-0.03,-0.49,-0.82,-0.37,-0.01,1,71,73,138,8843,-88.43,-383.0394892922486,-0.01130837950921633,1
241,8.36,0.0,1.12,1.59,0.51,12.01,0.03,0.01,0.85,1.91,0.05,0,257,0,0,7727,386.35,1.0,0.002588326646822829,1
242,-2.41,0.0,0.59,0.58,0.45,-18.3,0.01,0.0,0.06,42.56,0.02,1,45,121,0,7625,152.5,1.0,0.006557377049180328,1
246,40.64,25.22,1.02,1.0,0.69,0.95,0.04,0.02,0.76,1.33,0.05,0,137,125,199,7811,390.55,-526.6413350748707,0.0025604916143899628,1
247,9.63,3.1,1.1,1.11,1.09,3.31,0.03,0.11,0.18,8.31,0.03,0,5,99,176,7466,223.98,-1693.9107624633434,0.00446468434681668,1
248,2.78,0.23,1.36,1.26,1.26,2.75,0.27,0.76,0.03,38.59,0.1,0,0,7,107,7372,737.2,-5286.963222506393,0.0013564839934888768,1
249,-2.05,-0.07,0.51,0.75,0.73,0.0,-0.94,-1.01,-0.01,-2.04,-0.04,1,11,35,460,9302,-372.08,-3764.6911764705874,-0.0026875940657923028,1
251,6.42,2.29,1.16,0.96,0.8,0.82,0.02,-0.01,1.29,1.52,0.04,1,49,129,214,7296,291.84000000000003,-1301.337573658586,0.003426535087719298,1
253,-7.08,-0.93,0.86,0.64,0.62,-0.03,-0.15,-1.25,-0.43,-2.2,-0.23,1,9,150,21,7332,-1686.3600000000001,-1115.465843603758,-0.0005929931924381508,1
254,-2.38,-0.41,0.58,0.51,0.51,-3.77,-0.7,-1.08,-0.06,-13.59,-0.18,1,0,121,84,6748,-1214.6399999999999,-2032.540370058873,-0.0008232892050319437,1
255,-10.54,-3.36,0.91,0.65,0.53,0.23,-0.3,-2.78,-0.07,-14.06,-0.51,1,87,277,350,7260,-3702.6,-801.7029750752761,-0.00027008048398422733,1
256,3.56,1.51,1.28,0.8,0.8,0.82,-0.4,-2.04,-0.09,-0.45,-0.31,1,3,172,86,7028,-2178.68,-39.75551495775292,-0.0004589935190115116,1
259,17.02,9.67,1.06,0.76,0.44,0.59,-0.02,-0.78,-1.62,0.85,0.03,1,118,110,146,6538,196.14,-313.52008273009307,0.005098399102681758,1
261,9.71,0.01,1.1,1.08,0.67,4.04,0.03,0.18,0.02,56.37,0.01,0,38,89,23,7089,70.89,-412782.87272727274,0.014106361969248131,1
262,39.16,0.0,1.03,1.04,0.71,3.09,0.02,0.28,1.74,0.74,0.01,0,78,0,0,6787,67.87,1.0,0.014734050390452334,1
263,6.58,2.44,1.15,0.9,0.79,0.85,0.06,0.16,0.43,3.39,0.1,0,28,125,158,6537,653.7,-753.6427156094085,0.0015297537096527459,1
264,-9.79,-1.42,0.9,0.79,0.17,-0.3,-0.14,-1.39,-0.1,-7.13,-0.25,1,568,136,121,7310,-1827.5,-673.9988703051642,-0.0005471956224350205,1
265,-2.87,-1.03,0.65,0.29,0.28,-0.83,-0.4,-0.84,-0.14,-4.48,-1.01,1,12,900,497,6725,-6792.25,-639.6059876773712,-0.00014722661857263794,1
266,-6.85,-2.25,0.85,0.73,0.58,0.25,-0.18,-1.25,-0.1,2.01,0.03,1,39,181,121,6851,205.53,-979.2670588235292,0.004865469761105435,1
267,36.14,18.67,1.03,1.16,0.63,4.99,0.04,0.01,0.55,2.07,0.08,0,303,163,326,6741,539.28,-523.0509280762969,0.0018543242842308265,1
268,-8.93,-2.71,0.89,0.96,0.95,0.49,-0.09,-0.93,-0.3,-2.2,-0.03,1,1,83,120,6319,-189.57,-1256.1627646253992,-0.005275096270506937,1
270,10.22,0.0,1.1,1.06,1.06,2.54,0.02,0.08,0.27,5.56,0.01,0,0,0,103,5953,59.53,-1.0,0.016798252981689903,1
271,-17.19,-2.4,0.94,0.8,0.75,-0.11,-0.06,-1.47,-0.48,-1.03,-0.02,1,9,123,86,6196,-123.92,-2771.7208235815606,-0.008069722401549387,1
