X1,V1,V2,V3,V4,V5,V6,V8,V9,V12,V13,V15,V19,V20,V21,V22,V23,V25,V26,V27,status
7509,1.5,0.07,1.67,3.82,3.74,34.79,0.14,0.26,0.02,59.64,0.18,0,9,84,125,1795,323.09999999999997,-5367.23481608212,0.0,0
7510,26.79,7.31,1.04,1.07,0.67,1.57,0.02,0.01,0.99,1.68,0.03,0,114,170,166,1795,53.85,-1388.401910449332,0.018570102135561744,0
7511,6.67,0.0,1.15,2.08,1.44,18.91,0.03,0.17,0.0,532.32,0.05,0,151,188,291,1795,89.75,-1.0,0.011142061281337047,0
7512,2.45,0.0,1.41,10.41,5.36,14.45,0.03,0.06,0.03,49.44,0.01,0,32,0,0,1795,17.95,1.0,0.05571030640668524,0
7513,9.46,0.0,1.11,1.04,0.49,1.32,0.02,0.02,0.52,2.76,0.03,0,154,0,0,1795,53.85,1.0,0.018570102135561744,0
7514,3.7,0.0,1.27,1.69,1.69,4.23,0.05,0.12,0.01,185.45,0.05,0,0,0,0,1794,89.7,1.0,0.011148272017837234,0
7515,2.75,1.42,1.36,1.37,0.91,2.37,0.03,0.03,0.41,4.11,0.05,0,92,102,41,1793,89.65,-408.9682580778791,0.011154489682097044,0
7516,3.41,0.01,1.29,1.31,1.3,14.78,0.06,0.14,0.08,17.01,0.02,0,1,49,71,1793,35.86,-180009.3627906977,0.027886224205242612,0
7517,2.33,0.52,1.43,1.64,1.58,1.56,0.03,0.05,0.05,29.05,0.08,0,13,137,130,1793,143.44,-1052.7484211941903,0.006971556051310653,0
7518,13.75,0.0,1.07,1.08,0.42,6.98,0.01,0.04,0.05,32.89,0.02,0,366,128,124,1792,35.84,-1.0,0.027901785714285712,0
7519,5.26,0.0,1.19,1.59,0.96,34.72,0.05,0.14,0.28,4.17,0.04,0,92,0,0,1792,71.68,1.0,0.013950892857142856,0
7521,6.58,0.0,1.15,1.11,1.02,1.5,0.05,0.05,0.68,2.79,0.06,0,13,0,0,1792,107.52,1.0,0.009300595238095238,0
7522,0.73,0.0,2.37,2.92,2.69,1.81,0.0,0.0,0.58,17.48,0.05,0,18,40,148,1792,89.60000000000001,-1.0,0.011160714285714284,0
7523,10.18,3.32,1.1,1.93,0.86,129.8,0.03,0.1,0.42,2.42,0.04,0,296,64,152,1791,71.64,-517.8005366922234,0.013958682300390842,0
7524,0.64,0.0,2.57,2.98,2.96,29.04,0.05,0.04,0.18,6.8,0.03,0,1,13,94,1790,53.699999999999996,-1.0,0.0186219739292365,0
7525,0.71,0.06,2.4,0.89,0.89,0.98,0.17,0.23,0.02,64.8,0.94,0,0,249,58,1790,1682.6,-1598.5784239130433,0.0,0
7526,1.93,1.88,1.52,0.76,0.76,0.98,0.02,0.02,0.48,5.36,0.94,0,0,0,183,1789,1681.6599999999999,-16.517196293754285,0.0005946505238871116,0
7527,17.43,0.0,1.06,0.2,0.2,0.76,0.03,-0.17,1.48,1.37,0.6,1,0,12,126,1788,1072.8,-1.0,0.0009321401938851603,0
7528,1.78,0.0,1.56,1.31,0.51,2.04,0.02,0.02,0.25,6.12,0.11,0,540,0,344,1788,196.68,-1.0,0.00508440105755542,0
7529,2.98,1.86,1.34,1.45,1.05,109.39,0.01,0.01,0.43,2.43,0.02,0,132,68,336,1787,35.74,-654.6841309581126,0.027979854504756575,0
7530,5.63,0.0,1.18,0.75,0.64,0.71,0.04,0.2,0.26,18.66,0.14,0,16,0,60,1787,250.18000000000004,-1.0,0.003997122072108081,0
7531,0.91,0.0,2.1,1.91,1.91,2.42,0.1,0.13,0.02,57.16,0.09,0,0,0,0,1787,160.82999999999998,1.0,0.0062177454455014615,0
7533,0.77,0.26,2.3,1.18,0.86,1.07,0.02,0.0,0.62,4.1,0.08,0,41,70,57,1787,142.96,-610.3569732441472,0.006994963626189144,0
7534,14.51,6.15,1.07,0.57,0.44,0.37,0.11,0.82,0.22,7.38,0.22,0,44,170,111,1786,392.92,-630.0799794392524,0.0025450473378804844,0
7535,64.58,12.65,1.02,0.68,0.67,0.2,0.02,0.16,0.92,2.8,0.07,0,7,77,175,1786,125.02000000000001,-924.0990988142291,0.007998720204767237,0
7536,5.14,2.07,1.19,1.42,1.22,7.85,0.04,0.03,0.29,5.2,0.07,0,57,36,312,1786,125.02000000000001,-801.6013900052774,0.007998720204767237,0
7537,4.44,0.62,1.23,1.34,1.34,5.01,0.12,0.37,0.07,16.46,0.06,0,0,13,111,1785,107.1,-3254.4411224757405,0.009337068160597572,0
7538,5.46,2.31,1.18,0.35,0.35,0.28,0.05,0.07,0.38,7.93,0.16,0,2,54,75,1785,285.6,-380.1259473182186,0.0035014005602240893,0
7539,12.25,5.93,1.08,0.95,0.83,0.76,0.05,0.29,0.36,3.23,0.06,0,37,113,0,1785,107.1,-245.47215976516145,0.009337068160597572,0
7540,6.68,0.96,1.15,1.15,1.15,1.77,0.01,0.03,0.76,4.56,0.03,0,0,32,0,1785,53.55,-440.0,0.018674136321195144,0
7541,7.72,0.0,1.13,1.07,1.04,1.36,0.03,0.14,0.08,20.6,0.03,0,5,34,16,1784,53.519999999999996,-1.0,0.01868460388639761,0
7542,4.76,1.07,1.21,1.77,1.01,1.83,0.03,0.11,0.38,3.07,0.06,0,147,91,120,1784,107.03999999999999,-741.7867428747973,0.009342301943198805,0
7543,5.83,2.55,1.17,1.56,0.6,14.5,-0.03,-0.39,-0.74,-1.12,-0.02,1,176,32,82,1784,-35.68,-405.58593464052285,-0.028026905829596414,0
7544,12.23,0.0,1.08,1.04,0.19,1.13,0.02,0.02,0.95,1.62,0.03,0,185,0,6,1784,53.519999999999996,-1.0,0.01868460388639761,0
7545,1.14,0.0,1.88,2.09,1.77,3.68,0.05,0.05,0.15,10.38,0.08,0,44,0,0,1783,142.64000000000001,1.0,0.007010656197420078,0
7546,59.9,0.0,1.02,0.2,0.14,0.8,0.03,0.08,0.67,4.24,0.08,0,6,0,0,1783,142.64000000000001,1.0,0.007010656197420078,0
7547,18.44,0.0,1.05,1.03,0.98,1.86,0.05,0.73,0.01,114.39,0.02,0,7,0,0,1782,35.64,1.0,0.028058361391694726,0
7548,1.39,0.45,1.72,1.15,1.14,1.09,0.07,0.1,0.1,14.05,0.09,0,2,46,93,1782,160.38,-749.4582997416019,0.006235191420376606,0
7550,3.22,0.17,1.31,0.84,0.84,0.66,0.26,0.82,0.05,30.58,0.26,0,0,132,138,1781,463.06,-10439.753210597215,0.00215954735887358,0
7551,-43.4,-0.39,0.98,1.06,0.69,4.34,0.01,-0.17,0.24,10.29,0.01,0,49,89,0,1780,17.8,-24555.945578231287,0.056179775280898875,0
7552,1.55,0.0,1.64,1.73,1.62,33.25,0.22,0.38,0.01,108.59,0.16,0,16,136,102,1779,284.64,-1.0,0.0035132096683530073,0
7553,0.25,0.0,4.98,3.87,3.85,1.98,0.05,0.04,0.04,56.89,0.16,0,1,0,0,1779,284.64,1.0,0.0035132096683530073,0
7554,18.48,9.37,1.05,0.84,0.59,0.42,0.01,-0.08,1.22,4.58,0.03,1,66,57,47,1779,53.37,-244.8201494130203,0.01873711823121604,0
7555,10.34,0.0,1.1,1.1,0.33,2.38,0.03,0.11,0.2,5.68,0.02,0,80,0,21,1779,35.58,-1.0,0.028105677346824058,0
7556,1.78,1.13,1.56,3.03,3.03,4.93,0.13,0.27,0.16,7.99,0.16,0,0,26,87,1778,284.48,-315.47757930565024,0.0035151856017997746,0
7557,1.59,0.0,1.63,3.15,3.08,8.74,0.5,0.92,0.0,236.54,0.31,0,4,0,0,1778,551.18,1.0,0.0018142893428644002,0
7558,3.11,1.15,1.32,1.46,1.36,2.22,0.02,0.01,0.72,4.41,0.11,0,28,41,144,1777,195.47,-440.5028326745719,0.00511587455875582,0
7559,1.52,0.0,1.66,1.57,0.55,2.39,0.01,0.01,0.01,400.65,0.09,0,321,30,32,1776,159.84,-1.0,0.006256256256256256,0
7561,24.09,5.83,1.04,0.94,0.77,0.55,0.01,0.04,0.45,6.79,0.03,0,46,123,180,1776,53.28,-1600.0196569468264,0.01876876876876877,0
7563,20.12,2.97,1.05,1.21,1.21,4.49,0.01,-0.02,1.14,5.72,0.03,1,0,75,171,1774,53.22,-2598.3119576719573,0.018789928598271326,0
7564,2.58,0.0,1.39,1.2,1.2,2.0,0.05,0.14,0.02,50.44,0.03,0,0,0,0,1774,53.22,1.0,0.018789928598271326,0
7565,2.34,0.54,1.43,1.33,1.26,1.82,0.42,1.01,0.02,53.59,0.27,0,9,23,0,1773,478.71000000000004,-236.08808598808596,0.0020889473794155123,0
7566,8.22,0.0,1.12,1.13,1.03,43.77,0.01,0.13,0.12,9.23,0.01,0,15,0,0,1773,17.73,1.0,0.05640157924421884,0
7567,1.72,0.4,1.58,1.43,0.79,2.19,0.01,0.01,0.35,15.82,0.07,0,163,168,162,1772,124.04,-1789.045569620253,0.008061915511125443,0
7568,0.48,0.06,3.07,3.59,3.59,1.05,0.01,0.02,0.02,98.72,0.9,0,0,0,0,1772,1594.8,28.84473398479913,0.0,0
7569,1.28,0.56,1.78,2.53,1.97,9.88,0.32,0.51,0.01,203.24,0.13,0,29,37,20,1771,230.23000000000002,-583.6745104333869,0.004343482604352169,0
7570,1.04,0.2,1.97,1.98,1.88,2.98,0.35,0.52,0.01,131.51,0.33,0,12,46,105,1769,583.77,-1760.9782233502533,0.0017130034088767836,0
7571,0.35,0.0,3.82,3.0,2.91,2.73,0.27,0.24,0.0,231.81,0.19,0,5,31,3,1769,336.11,-1.0,0.002975216446996519,0
7572,1.07,0.2,1.94,2.52,2.52,43.29,0.38,0.53,0.02,56.6,0.25,0,1,28,157,1768,442.0,-2896.9756701030933,0.0022624434389140274,0
